Video Title,Video ID,Published Date,Video Age (Days),Views,Likes,Comments,(Likes + Comments) / Views,Daily Views,Daily Likes
Amateur Vs. Professional Chef: Mac 'N' Cheese,LWSIcpLEurA,2018-05-23T18:00:12Z,2416,3544501,43270,1791,0.0127,1467.09,17.91
Indian & Japanese People Swap Snacks,JMH8-lGdMlc,2019-08-26T18:00:05Z,1956,1544123,35284,3366,0.025,789.43,18.04
Americans Try うに (Sea Urchin) For The First Time,u6XKgow8N5Q,2016-03-14T22:00:30Z,3216,1507597,16708,1053,0.0118,468.78,5.2
21 Dating Deal-Breakers People Wish They Could Say,ybAkalDde4M,2015-05-05T01:21:31Z,3531,2167362,27306,938,0.013,613.81,7.73
"""Who's a good boy?""",igPSHbSxFrU,2024-12-31T00:00:34Z,3,4345,193,12,0.0472,1448.33,64.33
People Try Acupuncture Therapy • The Test Friends,b444pexv8to,2015-08-05T23:00:00Z,3438,9614900,85531,3197,0.0092,2796.66,24.88
Home Chef Tries The No Trash Trader Joe's Challenge,oUrqvpLt1tc,2019-10-04T18:00:07Z,1917,320305,6532,288,0.0213,167.09,3.41
Couples Guess Each Other's Perfect Sandwich // Presented by BuzzFeed and Subway,5ZXFA2rqyUU,2015-12-02T19:17:41Z,3319,4078635,40412,1812,0.0104,1228.87,12.18
Australians Try Popular Filipino Dishes,fZsYULxmhr8,2016-02-29T01:00:31Z,3231,2890184,31677,6360,0.0132,894.52,9.8
Private Investigators Guesses Who's the Boss Out Of A Lineup,QysUDw4vjL8,2023-07-14T18:00:13Z,538,18461,514,3,0.028,34.31,0.96
I Made The Amazing 700-Year-Old Sugar Painting From China,pvT_8hl60Zw,2018-09-05T18:00:05Z,2311,1150459,24604,1222,0.0224,497.82,10.65
Americans & Swedes Swap Snacks,3-XDkxsY6-4,2019-03-11T18:00:01Z,2124,2257604,29952,3247,0.0147,1062.9,14.1
Americans Try New Canadian Lays Flavors,VMmCZOZeT_k,2015-09-23T20:00:01Z,3389,2566021,24708,4152,0.0112,757.16,7.29
I Let My Toddler Run Our Lives For A Week • Mom In Progress,PoGsxE_7JF8,2022-07-09T16:00:25Z,908,328734,9136,288,0.0287,362.04,10.06
The Internet Latest Obsessions: 6  Viral Memes Explained,KqKdjA6tTHo,2025-01-02T20:00:13Z,1,4854,120,7,0.0262,4854.0,120.0
Photoshopping Real Women Into Cover Models,zRlpIkH3b5I,2014-02-13T17:41:48Z,3976,19009409,157161,7201,0.0086,4781.04,39.53
We Mixed 81 Chips To Make Mozzarella Sticks,1s8ny4nofek,2020-10-18T15:00:00Z,1537,465225,13665,723,0.0309,302.68,8.89
The Craziest Winter Olympic Stories That Will Blow Your Mind,SwhPStzEeGI,2018-02-17T03:00:13Z,2512,288243,5945,293,0.0216,114.75,2.37
Single Guy Picks A Date Based On Their Indian Cooking • Plate To Date,4EOO5x6pMgY,2022-03-19T15:00:02Z,1020,761506,15164,891,0.0211,746.57,14.87
Adults Take The SAT (Again),PJRhPrLJ4Oo,2015-05-24T21:26:24Z,3511,4162945,48498,4023,0.0126,1185.69,13.81
We Mixed Every Cookie Mix Together,ITjPREa2864,2019-03-21T18:00:03Z,2114,2455377,49694,2231,0.0211,1161.48,23.51
Americans Try Tinikling Traditional Filipino Dance,9bPXaryKuyY,2016-03-01T02:00:01Z,3230,1151797,28775,3183,0.0277,356.59,8.91
Adults Take The SAT (Again),PJRhPrLJ4Oo,2015-05-24T21:26:24Z,3511,4162945,48498,4023,0.0126,1185.69,13.81
Chinese Americans Try Each Other's Dumplings,Ap2no6m4vxA,2022-01-22T16:00:03Z,1076,924881,22546,590,0.025,859.55,20.95
I Tested The Most Viral Pinterest Halloween Recipes,O4bGpVWuwCo,2017-10-21T00:00:42Z,2631,3450841,80979,1627,0.0239,1311.61,30.78
I Tried Cooking A Recipe From The 1910s,x0UdHAuW_Oc,2018-02-18T22:00:38Z,2510,4142371,57701,4669,0.0151,1650.35,22.99
Couple Buys A House For The First Time • Ned & Ariel,4FEcHK-c2VE,2018-03-21T16:00:12Z,2479,4520713,79071,3803,0.0183,1823.6,31.9
We Surprised An Assisted Living Home With Therapy Cats //Presented By BuzzFeed & Rachael Ray Nutrish,mQZWmxtdQ9E,2017-08-11T16:32:35Z,2701,1167420,35976,1734,0.0323,432.22,13.32
People Try Alcoholic Boba For The First Time,qEZdocXamHY,2016-11-15T02:11:28Z,2971,1052814,23697,650,0.0231,354.36,7.98
Expensive Water Taste Test,6JiCkphQsm4,2016-03-19T14:00:00Z,3211,5980656,70836,4420,0.0126,1862.55,22.06
Photoshopping Real Women Into Cover Models,zRlpIkH3b5I,2014-02-13T17:41:48Z,3976,19009409,157161,7201,0.0086,4781.04,39.53
I Tried To Make Edible Jewelry,Z228DTqLNkU,2019-06-21T18:00:07Z,2022,1178492,23207,964,0.0205,582.83,11.48
Dairy Lovers Try Different Types of Milk,0JlvLwdu8JA,2017-06-05T18:00:03Z,2768,1153250,17309,2723,0.0174,416.64,6.25
People Try Lychee Jelly For The First Time,ompzFZW8R4Y,2015-10-18T18:00:00Z,3364,2711255,36997,3641,0.015,805.96,11.0
Real Chefs Review Cooking Movie Scenes,BvhY0TyB28I,2018-11-12T19:00:01Z,2243,4544910,76720,2588,0.0174,2026.26,34.2
American Cooks For Haitian Mother-In-Law For The First Time,jPlf_9uLQUI,2021-05-07T18:00:12Z,1336,247032,8780,474,0.0375,184.9,6.57
Mom vs Chef: Battle Salmon // Sponsored by New York Life,TdqmTliKqcY,2016-05-13T17:15:47Z,3156,9043308,86610,10207,0.0107,2865.43,27.44
Women Try Tape Contouring • Ladylike,1qfUW5WgDSo,2016-02-03T23:00:00Z,3256,5826043,79905,2787,0.0142,1789.33,24.54
Can You Guess The Serving Size Of These Foods?,b_NB9vTqYlU,2020-01-24T19:00:06Z,1805,307929,5739,374,0.0199,170.6,3.18
20-Year-Olds Guess What Being 30 Is Like,cqANS2gfVK4,2015-04-09T19:56:26Z,3556,2460143,40671,3798,0.0181,691.83,11.44
People From Around The World Try Pig Ears For The First Time,lZ_jdEe-tic,2016-06-01T01:00:01Z,3138,662453,9213,1312,0.0159,211.11,2.94
Americans & Koreans Swap Drinks,mSBahLoRuDI,2019-02-20T22:00:06Z,2143,2385766,41367,2361,0.0183,1113.28,19.3
Can Chefs Make Sardine-Haters Change Their Minds?,rbs72RIivz8,2019-03-17T18:00:09Z,2118,494986,10533,746,0.0228,233.7,4.97
New Parents Reveal Life Changes // Presented by BuzzFeed & JOHNSON’S®,EagaaoRXVtI,2016-05-23T14:00:20Z,3146,1192813,18776,726,0.0163,379.15,5.97
Adults Try Soda-Flavored Pop-Tarts,e_kMlbojzfo,2016-09-11T18:00:01Z,3035,1243332,19869,1003,0.0168,409.66,6.55
If I Could Speak To My Mental Disorder,ula0LuaYuSw,2015-12-11T20:00:00Z,3310,747134,20207,1384,0.0289,225.72,6.1
People Try Tea From Around The World,_JA4r-mGkzQ,2016-01-19T19:30:00Z,3271,1538700,32492,2650,0.0228,470.41,9.93
People Pick The Best Boxed Brownies,7UyzI-oQvzQ,2019-06-27T18:00:00Z,2016,311887,6824,448,0.0233,154.71,3.38
Colorblind People See Color For The First Time,jjsWCLhfi_c,2017-08-09T18:00:49Z,2703,1305023,35967,1315,0.0286,482.81,13.31
How Sharks Are Fed At Aquariums,O-Aad-n-bIU,2020-12-01T19:00:07Z,1493,2207316,69111,2409,0.0324,1478.44,46.29
Americans Try Instagram Worthy Japanese Desserts,7d12MxTlLTI,2018-03-31T21:00:54Z,2469,923796,18983,590,0.0212,374.16,7.69
Transforming Women Into Historical Figures,fn_U_BhGfAY,2015-02-05T01:44:39Z,3620,6489539,85095,4751,0.0138,1792.69,23.51
McDonald's Vs. Jollibee Fast Food,3hc7N_uOHdw,2019-07-29T18:00:01Z,1984,1671875,36150,3380,0.0236,842.68,18.22
Teachers Answer Anonymous Questions From Students,pIfAs4VgEEs,2019-09-02T21:00:03Z,1949,1501236,31570,1646,0.0221,770.26,16.2
Things People Told Me After My Rape,l6ENEZtqyQ0,2017-09-13T00:00:09Z,2669,833825,26047,1812,0.0334,312.41,9.76
Black Americans Take A DNA Test To Find Out Which African Tribe They're From,LBbDemsZhz8,2019-01-04T22:00:04Z,2190,1816952,53868,12492,0.0365,829.66,24.6
Do You Fit America's Ideal Body Standards?,ERT_RUyJnTg,2016-06-19T18:00:01Z,3119,3632676,46260,1520,0.0132,1164.69,14.83
Teachers Play True or False: School Edition,w7iO_LwOqfg,2019-05-07T18:00:09Z,2067,615063,13778,530,0.0233,297.56,6.67
The Frankenfood Taste Test Your Inner Child Will Love,CBzs-AwFXYc,2014-06-26T17:59:05Z,3843,4264661,28815,5831,0.0081,1109.72,7.5
Boyfriends Dress Their Girlfriends • Ship It,ufKJy3Ku-wk,2016-02-06T16:30:00Z,3253,18411018,205259,6299,0.0115,5659.7,63.1
I Made This Chocolate Salami From Worth It,INXkDl8y_x4,2020-07-11T15:00:06Z,1636,600803,17036,1058,0.0301,367.24,10.41
Asian People Taste Test Trader Joe's Asian Food,EX_1zY2WwI4,2019-12-04T16:00:03Z,1856,679398,9000,1018,0.0147,366.05,4.85
I Suffer From Facial Wasting Due To HIV,1v9xzSTO27k,2018-09-02T18:00:02Z,2314,1106226,16812,1275,0.0164,478.06,7.27
Professional Chef Reviews Pasta Gadgets,u8ZPxQsfeqA,2020-03-18T18:00:14Z,1751,497686,7895,395,0.0167,284.23,4.51
Chocolate Lovers Try 100% Dark Chocolate,fBtCR5cwbYQ,2017-10-05T00:00:15Z,2647,2497626,38106,4152,0.0169,943.57,14.4
Asian Americans Re-create Iconic Magazine Covers,CT8BXAWEgFU,2017-01-24T19:14:55Z,2900,3698602,136434,8702,0.0392,1275.38,47.05
Amateurs Vs. Professional Chef: Fast Food Challenge,HB-GENSblHc,2019-12-21T19:00:05Z,1839,1323680,30445,1980,0.0245,719.78,16.56
Mom Vs. Chef: Battle Tofu // Sponsored By New York Life,2emO1mCqtdg,2016-06-03T18:00:00Z,3135,4139261,42581,6030,0.0117,1320.34,13.58
Homesick,d-dEulwhWhE,2017-01-31T19:00:23Z,2893,576260,27996,1689,0.0515,199.19,9.68
Women Test Long-Wear Lipsticks  • Ladylike,kcdTYXCwMAA,2015-11-23T22:00:00Z,3328,6700372,75086,2175,0.0115,2013.33,22.56
Single Woman Picks A Date Based On Their Filipino Cooking • Plate To Date,pNAjL71DIzA,2021-12-26T16:00:19Z,1103,1909405,41681,1503,0.0226,1731.1,37.79
I Made Every Single Dish From Naruto,b9tOWPT8t8g,2021-04-29T19:15:01Z,1344,357568,20606,703,0.0596,266.05,15.33
Mom Vs. Chef: Battle Spinach,0sCBFxf8WDw,2016-01-02T23:00:00Z,3288,8180259,139171,11499,0.0184,2487.91,42.33
Single Woman Picks A Date Based On Their Filipino Cooking • Plate To Date,pNAjL71DIzA,2021-12-26T16:00:19Z,1103,1909405,41681,1503,0.0226,1731.1,37.79
Daughters Try On Their Mother’s Wedding Dress,UzeWBs5pIE0,2015-05-09T02:14:21Z,3527,8530741,84772,1734,0.0101,2418.7,24.04
Americans Guess What 100 Calories Looks Like,RSUtXePw7Aw,2015-07-10T01:00:01Z,3465,6154709,72919,3385,0.0124,1776.25,21.04
Mom Vs. Chef: Battle Beets // Sponsored By New York Life,SAvVUkjPGWI,2016-04-22T18:00:00Z,3177,5019071,54515,6041,0.0121,1579.81,17.16
What Actually Makes A Man Attractive?,oU0uNGUxdyo,2016-07-09T01:00:01Z,3100,12352771,187301,12680,0.0162,3984.76,60.42
Women Test Long-Wear Lipsticks  • Ladylike,kcdTYXCwMAA,2015-11-23T22:00:00Z,3328,6700372,75086,2175,0.0115,2013.33,22.56
Ghanaian and Korean American Swap Traditional Dishes,ysR6UikvZKg,2021-06-22T18:00:14Z,1290,461895,16127,688,0.0364,358.06,12.5
Koreans Get Photoshopped With Plastic Surgery Ideals,YD0TRbLmZaw,2016-10-17T22:00:02Z,2999,15876728,268582,20074,0.0182,5294.01,89.56
Men With Different Body Types Get Style Makeovers,9oKEyKWzAcI,2016-04-22T22:00:00Z,3177,3619278,64868,3660,0.0189,1139.21,20.42
Mom Vs. Chef: Battle Cauliflower // Sponsored By New York Life,olkn5EOGxr0,2016-04-06T18:00:02Z,3193,5366195,69736,7845,0.0145,1680.61,21.84
Foot Doctor Horror Stories,UoW67zHwhI8,2020-01-27T22:00:07Z,1802,235971,4573,336,0.0208,130.95,2.54
American & British People Swap Cereal,HgbZN9N8Fzo,2020-07-29T18:53:23Z,1618,150421,3703,713,0.0294,92.97,2.29
Giving vs. Receiving // Presented By BuzzFeed & Gap,jZ-QRaGLMdw,2016-11-22T19:00:02Z,2963,939685,6572,293,0.0073,317.14,2.22
I Invented A New Bubble Tea Flavor,08Ga66m68Vk,2019-05-24T18:00:02Z,2050,1890008,50970,1916,0.028,921.96,24.86
Ex-Mob Boss Sells Something On The Dark Web,QXqJGVoFYoM,2020-03-07T19:00:05Z,1762,2278500,64335,3468,0.0298,1293.13,36.51
People Eat Brains For The First Time,ssu8hathBmE,2015-03-12T18:01:26Z,3584,3238676,27311,1813,0.009,903.65,7.62
"$1,065 Engagement Ring Vs. $55,000 Engagement Ring",zEnEfbAOWbI,2019-06-16T15:00:15Z,2027,2199649,33728,2297,0.0164,1085.17,16.64
We Rank (Almost) All The Reese's Foods,z_YZGnC92tw,2018-12-22T22:00:02Z,2203,1079923,17339,1603,0.0175,490.21,7.87
I Recreated My Friend's Favorite Ube Cake From The Philippines,Xfz_kglF6ZU,2020-01-11T16:00:06Z,1818,1252972,46985,2910,0.0398,689.2,25.84
Korean Men Answer Commonly Googled Questions About Themselves,TnwGkZuOu8Q,2018-02-25T19:00:13Z,2503,2168892,57148,2364,0.0274,866.52,22.83
The Try Guys Cosplay For The First Time,UMN5yeYZWsY,2015-08-03T23:00:00Z,3440,7985412,140015,6721,0.0184,2321.34,40.7
I Trained Like A K-Pop Star For A Week ft. Amber from f(x),XSkH-djDU-k,2016-06-11T16:00:02Z,3127,7515614,255072,24005,0.0371,2403.46,81.57
Adults Drink Jungle Juice For The First Time Since College,n4m9ni9INdg,2017-04-23T21:00:52Z,2811,1544661,22619,1315,0.0155,549.51,8.05
Moving Back Home With Your Parents,cey3YlcCpc4,2015-02-14T00:01:46Z,3611,3168137,43347,1834,0.0143,877.36,12.0
How A Professional Clown Turns Into A Clown,f9OObddPpUM,2019-10-18T21:00:05Z,1903,280668,9549,1135,0.0381,147.49,5.02
Cake Decorator Vs. Artist: Mini Cakes,nukwmfb8bII,2018-04-13T21:00:13Z,2456,7665141,102972,3926,0.0139,3120.99,41.93
We Try Buddy The Elf's Breakfast Pasta ft. Binging With Babish,IL_tGyN5ZNg,2017-12-10T19:00:18Z,2580,925607,22327,993,0.0252,358.76,8.65
How I Lost 10% Body Fat In 4 Months,7W_eg3M_Ekk,2019-08-03T15:00:01Z,1979,2658512,55613,1805,0.0216,1343.36,28.1
Are Emojis Words?,rQOtlbzaJto,2015-11-20T01:00:00Z,3332,628003,13820,1458,0.0243,188.48,4.15
Couple Remodels A House For The First Time • Ned & Ariel,vptg63DYSss,2018-03-28T15:01:56Z,2472,3301306,74037,3362,0.0234,1335.48,29.95
Ballerinas Learn How To Twerk For The First Time,0TgvJViVyJQ,2016-03-28T01:00:00Z,3203,6799522,110668,7477,0.0174,2122.86,34.55
Tattoo Artist Vs. Painter: Body Paint Challenge,r2lS7d0fFQw,2019-07-08T21:00:04Z,2005,873640,29197,936,0.0345,435.73,14.56
What Can Stop A Bullet?,1fCqz_JlIi8,2016-05-29T21:00:00Z,3140,1628131,29722,2684,0.0199,518.51,9.47
The Try Guys Get Prostate Exams,LtbAl3AKohs,2015-11-01T15:00:00Z,3350,17777254,226446,12323,0.0134,5306.64,67.6
Women Try A Face Mask From The 90s,tsucya7NPoc,2017-07-02T18:00:34Z,2741,557445,11920,529,0.0223,203.37,4.35
6 Wenches You Meet In A Gay Tavern • Lesbian Princess Episode 01,jE1-SxX-kMs,2016-04-20T18:00:01Z,3179,1553556,39045,1296,0.026,488.69,12.28
Couples Give Each Other Surprise Hair Makeovers • Ned & Ariel,ogO-g9At2g0,2016-12-27T18:00:04Z,2928,8291488,151913,4575,0.0189,2831.79,51.88
Thailand Vs. Philippines: Which Has The Best Comfort Food?,tQh8umgs1CE,2019-10-14T18:00:02Z,1907,792930,19138,3367,0.0284,415.8,10.04
The Try Guys Try Wedding Dresses,nRr0x1rq9so,2015-06-20T21:54:39Z,3484,16226185,270256,12429,0.0174,4657.34,77.57
Dream Prom Makeovers That Transform Queer Teens’ Lives,dOYKQ9zUjmU,2017-06-09T16:00:12Z,2764,3683887,102589,7268,0.0298,1332.81,37.12
People Go On Blind Dates Based On Their Horoscope,EO_Lr_15ZVI,2017-07-06T18:00:59Z,2737,2099350,36966,5805,0.0204,767.03,13.51
Men’s Deodorant Smell Test,6ji4VKnjWQc,2015-07-10T23:00:01Z,3464,4668520,50181,3082,0.0114,1347.73,14.49
Why Does My Body Smell?,m9K-Q9wDYfg,2014-02-05T18:33:32Z,3984,999038,7310,620,0.0079,250.76,1.83
Are Sex Contracts A Real Thing?,9NfbNPnGBpk,2017-02-08T19:30:01Z,2885,1372883,23503,1397,0.0181,475.87,8.15
Women Take A Men's High School Sex Ed Quiz,iiL8LcTAUtU,2020-02-19T23:50:11Z,1779,634512,9104,661,0.0154,356.67,5.12
Fish Sperm Taste Test • Feast Mode Hunger Squad,g35mTcrOkkU,2015-12-27T16:00:00Z,3294,3243577,32677,2371,0.0108,984.69,9.92
Which American Accent Is The Sexiest?,IkqTishk59c,2019-03-27T21:00:01Z,2108,2146629,49579,4524,0.0252,1018.32,23.52
The Try Guys Try Perverted Halloween Costumes,AdB0KtcePoQ,2015-10-17T17:00:01Z,3365,14570201,205863,7967,0.0147,4329.93,61.18
Adult Performers Answer Questions You've Always Had,wd2oSSeuiuA,2018-01-15T19:00:37Z,2544,19975272,195183,9559,0.0102,7851.92,76.72
Adult Performers Answer Questions You've Always Had,wd2oSSeuiuA,2018-01-15T19:00:37Z,2544,19975272,195183,9559,0.0102,7851.92,76.72
People Raised Religious Confess Their First Masturbation Story,0jkCwmIZ5Uc,2017-10-31T02:00:39Z,2621,1424851,24785,1272,0.0183,543.63,9.46
The Try Guys Get Photoshopped Like Women,2Zw634ZZiek,2016-07-12T17:00:00Z,3096,18922191,308216,9754,0.0168,6111.82,99.55
What Sex Is Like After Having A Baby,hPQDaGUaRrU,2016-10-26T18:00:04Z,2990,3356629,39044,1933,0.0122,1122.62,13.06
"The Try Guys Play F***, Marry, Kill: Ned's Wife Edition",2svP5qdXHbU,2016-02-28T15:00:00Z,3231,13869540,252284,6524,0.0187,4292.65,78.08
Why I Always Hated My Vagina,Nqr5wBXydkQ,2020-04-04T15:00:20Z,1734,2438374,96250,8690,0.043,1406.21,55.51
